时间,成交价,手数,买卖盘性质
09:15:09,4.62,23,中性盘
09:16:48,4.62,22,中性盘
09:16:57,4.62,42,中性盘
09:17:15,4.65,12,中性盘
09:18:09,4.65,74,中性盘
09:18:18,4.65,99,中性盘
09:18:27,4.65,99,中性盘
09:19:03,4.65,199,中性盘
09:19:39,4.65,209,中性盘
09:20:54,4.65,209,中性盘
09:21:48,4.65,230,中性盘
09:21:57,4.65,230,中性盘
09:22:15,4.65,230,中性盘
09:22:33,4.65,230,中性盘
09:23:18,4.65,233,中性盘
09:23:27,4.65,233,中性盘
09:23:36,4.65,233,中性盘
09:23:54,4.64,243,中性盘
09:24:30,4.64,243,中性盘
09:24:39,4.64,243,中性盘
09:24:57,4.62,291,中性盘
09:25:00,4.62,291,买盘
09:30:00,4.62,27,买盘
09:30:03,4.62,1078,买盘
09:30:06,4.62,182,卖盘
09:30:09,4.62,139,卖盘
09:30:12,4.62,199,买盘
09:30:15,4.61,25,卖盘
09:30:18,4.62,293,买盘
09:30:24,4.61,70,卖盘
09:30:27,4.61,223,买盘
09:30:30,4.62,1,卖盘
09:30:33,4.62,6,卖盘
09:30:36,4.62,7,卖盘
09:30:39,4.62,71,卖盘
09:30:42,4.63,312,买盘
09:30:45,4.63,5,卖盘
09:30:51,4.64,432,买盘
09:30:54,4.63,26,卖盘
09:30:57,4.64,76,买盘
09:31:00,4.64,32,卖盘
09:31:03,4.64,96,卖盘
09:31:06,4.64,220,卖盘
09:31:09,4.64,61,买盘
09:31:12,4.64,295,买盘
09:31:15,4.63,1,卖盘
09:31:18,4.63,6,卖盘
09:31:21,4.64,167,买盘
09:31:30,4.65,1,买盘
09:31:36,4.65,15,买盘
09:31:45,4.65,49,买盘
09:31:48,4.65,654,买盘
09:31:51,4.65,10,卖盘
09:31:57,4.65,62,卖盘
09:32:00,4.65,3,卖盘
09:32:03,4.66,116,买盘
09:32:06,4.66,141,买盘
09:32:09,4.66,33,买盘
09:32:12,4.66,2,买盘
09:32:18,4.66,16,买盘
09:32:24,4.65,69,卖盘
09:32:27,4.65,351,卖盘
09:32:30,4.65,1008,买盘
09:32:33,4.65,18,卖盘
09:32:36,4.66,8,买盘
09:32:39,4.66,113,买盘
09:32:42,4.65,24,卖盘
09:32:45,4.66,1,买盘
09:32:48,4.66,129,买盘
09:32:51,4.66,24,买盘
09:32:54,4.67,950,买盘
09:32:57,4.66,496,卖盘
09:33:00,4.66,67,买盘
09:33:03,4.66,99,买盘
09:33:06,4.66,72,买盘
09:33:09,4.66,100,买盘
09:33:12,4.66,51,买盘
09:33:15,4.66,176,买盘
09:33:18,4.66,105,卖盘
09:33:21,4.66,30,卖盘
09:33:24,4.66,116,卖盘
09:33:27,4.67,11,买盘
09:33:30,4.66,176,卖盘
09:33:39,4.66,71,卖盘
09:33:42,4.68,2335,买盘
09:33:45,4.67,2031,卖盘
09:33:51,4.67,50,卖盘
09:33:54,4.68,18,买盘
09:33:57,4.68,21,买盘
09:34:00,4.68,9,买盘
09:34:03,4.67,917,卖盘
09:34:06,4.67,5,买盘
09:34:09,4.67,81,买盘
09:34:12,4.68,78,买盘
09:34:15,4.69,171,买盘
09:34:18,4.68,63,卖盘
09:34:21,4.7,1840,买盘
09:34:24,4.71,574,买盘
09:34:27,4.71,231,卖盘
09:34:30,4.71,519,买盘
09:34:33,4.71,79,买盘
09:34:36,4.71,217,买盘
09:34:39,4.72,24,买盘
09:34:42,4.72,82,买盘
09:34:45,4.72,292,买盘
09:34:48,4.72,186,卖盘
09:34:51,4.71,497,卖盘
09:34:54,4.72,1791,买盘
09:34:57,4.71,24,卖盘
09:35:00,4.72,67,买盘
09:35:03,4.72,91,买盘
09:35:06,4.72,298,买盘
09:35:09,4.72,1414,买盘
09:35:12,4.72,41,买盘
09:35:15,4.72,132,买盘
09:35:21,4.72,580,卖盘
09:35:24,4.72,170,卖盘
09:35:27,4.72,19,卖盘
09:35:30,4.72,134,买盘
09:35:33,4.75,2729,买盘
09:35:36,4.76,852,买盘
09:35:39,4.77,893,买盘
09:35:42,4.75,74,卖盘
09:35:45,4.75,101,卖盘
09:35:48,4.76,61,买盘
