序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
422,002178,延华智能,8.02,4.84,0.37,1439110.0,1150730455.72,12.68,8.42,7.45,7.45,7.65,1.85,20.22,-488.83,12.94,5711467068.0,5708500927.0,0.0,0.25,15.73,33.67
426,920108,宏海科技,23.15,4.8,1.06,105539.0,247672010.06,23.04,26.1,21.01,21.4,22.09,1.46,45.32,31.05,6.07,2778000000.0,539111413.0,0.52,0.92,315.62,315.62
445,603716,塞力医疗,10.48,4.7,0.47,542858.0,562051001.0,12.69,11.0,9.73,9.91,10.01,2.29,28.42,-26.79,2.05,2001556902.0,2001556902.0,0.0,0.48,18.69,45.15
492,430489,佳先股份,24.99,4.52,1.08,203533.0,496047918.02,14.81,26.1,22.56,23.02,23.91,1.6,23.75,204.72,6.85,3410115408.0,2141486788.0,0.0,-0.04,-2.91,52.38
522,301608,博实结,98.53,4.38,4.13,41425.0,396282846.59,8.82,99.99,91.66,94.4,94.4,0.74,23.27,48.81,4.45,8768184700.0,1754100031.0,0.03,0.26,62.43,44.09
548,002580,圣阳股份,14.3,4.23,0.58,1418950.0,1916854385.14,9.84,14.3,12.95,13.0,13.72,1.34,31.37,29.27,3.01,6490326600.0,6468444840.0,0.63,0.56,62.13,68.63
620,300302,同有科技,21.29,3.96,0.81,1027584.0,2073199429.7,11.38,21.48,19.15,19.15,20.48,1.19,27.86,244.1,7.5,10203526259.0,7853644575.0,-0.05,-0.14,30.85,35.09
636,300611,美力科技,17.31,3.9,0.65,380796.0,669606345.41,12.91,18.6,16.45,16.59,16.66,1.26,25.68,35.33,3.45,3653702711.0,2567124584.0,0.0,0.06,58.23,63.77
694,002123,梦网科技,18.82,3.69,0.67,1782801.0,3264291520.72,8.48,19.29,17.75,17.75,18.15,1.24,24.93,371.26,9.1,15067103273.0,13460796098.0,0.0,-0.11,76.88,74.1
806,301255,通力科技,49.32,3.4,1.62,81727.0,398161873.6,8.07,50.6,46.75,47.4,47.7,0.84,30.05,92.22,5.2,5366016000.0,1341504000.0,0.0,-0.06,38.73,49.91
821,002575,群兴玩具,12.91,3.36,0.42,2512145.0,3355027216.0,14.09,13.74,11.98,13.74,12.49,10.79,43.44,-603.33,10.06,8297515200.0,7465833635.0,2.38,0.7,88.47,56.67
909,301366,一博科技,65.23,3.15,1.99,149547.0,985936691.13,11.92,69.88,62.34,63.24,63.24,0.95,27.33,87.75,4.5,9784500065.0,3568800748.0,0.02,-0.08,47.95,50.26
1103,300403,汉宇集团,18.89,2.77,0.51,1203772.0,2302184925.39,9.58,19.79,18.03,18.03,18.38,0.75,28.46,48.7,5.67,11390670000.0,7989327419.0,-0.21,0.75,91.58,89.85
1232,300541,先进数通,14.76,2.57,0.37,960355.0,1419699949.9,6.95,15.27,14.27,14.36,14.39,1.47,26.3,145.4,3.88,6347456702.0,5390485785.0,0.07,0.07,11.4,8.93
1417,001306,夏厦精密,92.79,2.3,2.09,34439.0,320644427.16,8.54,96.78,89.03,90.7,90.7,0.61,22.22,90.4,4.41,5752980000.0,1438245000.0,0.02,0.01,55.12,65.11
