序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,871634,新威凌,28.08,30.0,6.48,119471,319228173.3,30.93,28.08,21.4,21.4,21.6,3.34,36.45,48.38,6.68,1790438252,920484190,0.0,0.0,19.49,85.96
2,871245,威博液压,57.69,29.99,13.31,18558,97281270.87,32.85,57.69,43.11,43.42,44.38,2.35,7.62,96.59,8.44,2872962000,1405041450,0.0,0.0,114.54,51.02
3,835579,机科股份,32.21,29.98,7.43,192341,568555677.3,30.99,32.21,24.53,25.0,24.78,3.06,43.15,263.97,7.99,4170550800,1435742068,0.0,0.0,21.04,73.36
4,833030,立方控股,37.03,29.98,8.54,177273,635686044.66,15.69,37.03,32.56,32.99,28.49,2.75,31.69,-27.6,6.33,3415767029,2071689860,0.0,0.0,58.38,138.9
5,300515,三德科技,20.2,20.02,3.37,238463,466956210.86,14.62,20.2,17.74,17.74,16.83,2.48,12.97,39.94,5.6,4156240900,3712516954,0.0,0.0,64.09,69.61
6,300938,信测标准,38.5,20.01,6.42,291345,1065811374.71,20.95,38.5,31.78,31.9,32.08,4.38,25.85,32.54,5.62,6207167698,4339703522,0.0,0.0,75.0,49.92
7,300953,震裕科技,173.41,20.0,28.9,138744,2263635202.25,20.7,173.41,143.5,144.4,144.51,2.03,16.44,89.91,6.1,20667800446,14632496551,0.0,0.0,136.61,149.01
8,301225,恒勃股份,37.64,19.99,6.27,121527,435663419.78,20.66,37.64,31.16,31.16,31.37,5.54,40.27,33.74,2.73,3891223200,1135975200,0.0,0.0,30.69,41.82
9,300248,新开普,16.75,19.99,2.79,1152732,1910619991.64,7.38,16.75,15.72,16.0,13.96,4.56,28.17,576.75,3.85,7978835583,6853335513,0.0,0.0,36.07,72.86
10,831856,浩淼科技,37.38,19.81,6.18,194962,683815149.33,33.78,39.9,29.36,29.9,31.2,1.28,40.69,121.36,6.99,3232575787,1791209491,-0.32,0.21,180.42,345.53
11,300611,美力科技,25.0,17.26,3.68,539725,1242619259.29,23.17,25.29,20.35,20.9,21.32,1.34,36.39,51.02,4.98,5276867000,3707574500,-0.75,0.85,115.52,136.52
12,301268,铭利达,21.18,17.08,3.09,156645,306567732.69,21.5,21.65,17.76,18.0,18.09,4.65,8.7,-66.12,3.79,8472238953,3812542584,-0.09,0.38,1.44,27.74
13,301379,天山电子,30.99,16.5,4.39,194576,577846359.99,20.6,31.88,26.4,26.4,26.6,3.89,20.83,29.24,3.12,4396737240,2895256245,0.1,0.13,50.51,53.42
14,836263,中航泰达,18.0,15.53,2.42,231927,378516433.31,36.14,19.88,14.25,14.29,15.58,1.76,22.61,32.71,4.34,2542372128,1846687266,-0.77,-0.17,75.44,136.22
15,301368,丰立智能,97.0,15.2,12.8,226049,2085395425.06,21.19,101.04,83.2,84.0,84.2,1.33,35.25,552.17,11.94,11649700000,6219779680,-1.02,-1.54,80.6,110.18
16,838670,恒进感应,23.0,14.71,2.95,157395,358759888.9,28.88,25.98,20.19,20.2,20.05,2.07,23.85,107.7,6.84,3082000000,1518066700,-0.43,-1.63,10.0,47.15
17,688053,思科瑞,32.23,14.41,4.06,68983,216082465.0,21.16,33.8,27.84,28.0,28.17,3.02,15.94,-151.65,2.0,3223000000,1394714574,0.03,0.16,-4.93,13.89
18,300260,新莱应材,27.73,12.0,2.97,499605,1366699036.89,16.16,28.86,24.86,25.02,24.76,5.17,17.37,45.34,5.67,11308481233,7976172485,0.04,-0.32,0.84,2.36
19,871553,凯腾精工,10.19,11.98,1.09,143581,142125098.76,18.68,10.66,8.96,9.03,9.1,2.57,15.63,65.86,4.24,1464205787,936106571,0.0,0.1,-8.86,46.62
20,830839,万通液压,28.38,11.6,2.95,57406,155949240.24,14.79,28.57,24.81,25.31,25.43,1.27,8.82,23.34,5.8,3383321700,1847293223,-0.14,2.2,35.98,76.71
21,688685,迈信林,69.25,11.53,7.16,97215,642745313.0,13.16,69.37,61.2,62.0,62.09,1.06,6.68,222.41,13.47,10070796690,10070796690,0.36,1.32,98.42,108.65
22,688288,鸿泉物联,24.74,11.44,2.54,78234,189113829.0,17.66,26.3,22.38,22.38,22.2,3.05,7.77,-714.7,3.43,2489930581,2489930581,0.0,0.28,35.34,53.66
23,300840,酷特智能,28.82,11.1,2.88,1059487,3195306166.1,9.95,31.13,28.55,31.13,25.94,5.76,61.88,33.28,5.21,6916800000,4934160695,-0.07,-0.83,45.34,43.96
24,300469,信息发展,33.8,11.07,3.37,296022,996885395.86,19.75,36.44,30.43,30.68,30.43,2.24,11.93,-96.64,16.38,8390472251,8390260325,0.81,0.81,5.3,43.83
25,300148,天舟文化,5.55,11.0,0.55,2991988,1697081748.44,21.0,6.0,4.95,5.02,5.0,2.25,37.32,165.87,4.88,4636133354,4449042809,-0.18,-0.36,24.72,52.89
26,301550,斯菱股份,143.55,10.36,13.47,73547,1045426798.27,16.45,152.0,130.6,130.6,130.08,1.58,13.39,86.55,9.3,15790500000,7885445535,0.0,0.22,112.67,97.21
27,000509,华塑控股,3.69,10.15,0.34,365955,132474755.5,11.94,3.69,3.29,3.37,3.35,3.74,3.41,-240.83,29.17,3959842512,3959830542,0.0,0.0,-2.12,10.81
28,838810,春光药装,21.5,10.14,1.98,88275,183622158.72,30.53,24.88,18.92,19.17,19.52,0.73,19.8,-25.46,6.31,1472750000,958401587,0.0,-1.83,63.5,148.84
29,002162,悦心健康,4.35,10.13,0.4,903804,379553739.22,10.38,4.35,3.94,3.98,3.95,0.94,9.82,-27.25,4.82,4008891718,4005031963,0.0,0.0,14.78,25.72
30,873570,坤博精工,42.5,10.1,3.9,49807,209716182.5,17.72,44.87,38.03,38.5,38.6,2.35,22.25,116.04,5.64,1938379483,951562335,-0.65,-0.4,-4.28,41.76
31,600302,标准股份,5.67,10.1,0.52,363757,197754822.0,11.84,5.67,5.06,5.1,5.15,0.97,10.51,-30.85,2.61,1961875589,1961875589,0.0,0.0,-0.53,17.88
32,601956,东贝集团,5.69,10.06,0.52,126900,72205986.0,0.0,5.69,5.69,5.69,5.17,0.29,2.05,25.66,1.43,3537939808,3519993605,0.0,0.0,6.36,17.81
33,600397,安源煤业,5.69,10.06,0.52,465871,258545763.0,10.44,5.69,5.15,5.15,5.17,1.9,4.71,-22.71,16.72,5632871729,5632871729,0.0,0.0,107.66,34.83
34,605069,正和生态,9.63,10.06,0.88,301280,284378355.0,9.94,9.63,8.76,9.0,8.75,4.02,35.8,384.2,1.95,2038649602,810473107,0.0,0.0,9.81,26.21
35,002093,国脉科技,9.96,10.06,0.91,142110,141541659.6,0.0,9.96,9.96,9.96,9.05,0.86,1.41,50.81,2.76,10034700000,10028387850,0.0,0.0,20.29,27.69
36,600361,创新新材,4.27,10.05,0.39,1329318,560469451.0,7.22,4.27,3.99,3.99,3.88,3.6,7.97,16.64,1.66,17538751229,7118119015,0.0,0.0,5.69,10.62
37,002114,罗平锌电,7.12,10.05,0.65,214394,149858031.64,10.2,7.12,6.46,6.46,6.47,0.71,6.63,-24.52,2.4,2302574301,2302542660,0.0,0.0,0.71,26.24
38,603158,腾龙股份,10.41,10.04,0.95,272842,278152936.0,10.68,10.41,9.4,9.46,9.46,1.22,5.56,16.21,2.28,5109220775,5109220775,0.0,0.0,25.72,28.84
39,002253,川大智胜,13.7,10.04,1.25,317027,431129845.2,4.18,13.7,13.18,13.7,12.45,2.34,15.26,-85.75,2.63,3091077502,2846442561,0.0,0.0,-17.91,-0.87
40,000409,云鼎科技,15.68,10.04,1.43,1417305,2212392446.28,6.32,15.68,14.78,15.68,14.25,2.42,33.48,98.72,7.08,10635281518,6638022082,0.0,0.0,53.42,75.98
41,603300,海南华铁,12.83,10.03,1.17,8401745,10556058892.0,5.75,12.83,12.16,12.3,11.66,3.76,42.59,38.99,4.18,25311126525,25311126525,0.0,0.0,121.97,121.97
42,002196,方正电机,8.01,10.03,0.73,849349,675399459.37,7.42,8.01,7.47,7.48,7.28,1.65,17.39,331794.88,2.73,3971934159,3912167360,0.0,0.0,27.14,49.44
43,000903,云内动力,4.06,10.03,0.37,2291379,917236364.16,5.69,4.06,3.85,3.85,3.69,2.86,11.93,-18.3,3.0,7916062842,7796262291,0.0,0.0,0.0,18.02
44,600301,华锡有色,23.71,10.02,2.16,239378,559999156.0,9.14,23.71,21.74,21.74,21.55,1.21,8.69,20.82,3.87,14998174927,6528208997,0.0,0.0,26.12,39.39
45,002937,兴瑞科技,24.04,10.02,2.19,140627,329691720.43,8.51,24.04,22.18,22.26,21.85,1.21,4.74,27.9,4.82,7158567614,7134709837,0.0,0.0,38.56,42.25
46,605303,园林股份,9.88,10.02,0.9,82286,80172596.0,10.47,9.88,8.94,9.0,8.98,1.6,5.1,-18.24,1.38,1593025591,1593025591,0.0,0.0,10.64,30.34
47,600367,红星发展,15.26,10.02,1.39,318540,482352202.0,6.92,15.26,14.3,14.3,13.87,1.54,9.89,67.92,2.2,5205657565,4913310757,0.0,0.0,22.08,32.24
48,000665,湖北广电,5.27,10.02,0.48,175169,92314089.35,0.0,5.27,5.27,5.27,4.79,0.55,1.54,-12.85,1.24,5992777839,5992571439,0.0,0.0,22.84,14.57
49,605118,力鼎光电,21.41,10.02,1.95,130818,274924530.0,11.46,21.41,19.18,19.3,19.46,3.09,3.21,56.49,6.05,8716353560,8716353560,0.0,0.0,31.43,20.21
50,001268,联合精密,22.18,10.02,2.02,72407,157008651.42,10.81,22.18,20.0,20.26,20.16,3.41,18.06,35.75,2.41,2393961348,889396574,0.0,0.0,14.51,27.03
51,002361,神剑股份,6.15,10.02,0.56,1075079,654277055.1,10.73,6.15,5.55,5.58,5.59,1.93,13.41,150.2,2.63,5848865059,4931826352,0.0,0.0,38.83,12.84
52,002760,凤形股份,21.97,10.02,2.0,212277,456457292.36,9.36,21.97,20.1,20.82,19.97,5.89,19.66,124.58,2.68,2372511871,2372511871,0.0,0.0,12.44,29.24
53,605208,永茂泰,15.71,10.01,1.43,488536,742456336.0,13.24,15.71,13.82,14.0,14.28,0.95,14.81,108.15,2.47,5183357400,5183357400,0.0,0.0,97.11,103.76
54,600588,用友网络,20.0,10.01,1.82,3530333,6899669475.0,7.92,20.0,18.56,19.44,18.18,2.54,10.33,-35.22,7.82,68339948180,68339948180,0.0,0.0,58.73,86.39
55,002943,宇晶股份,21.1,10.01,1.92,106826,217469995.52,11.78,21.1,18.84,19.18,19.18,5.03,8.1,101.87,3.42,4322832749,2782757696,0.0,0.0,3.74,6.35
56,300819,聚杰微纤,21.32,10.01,1.94,208727,442632384.48,14.4,22.8,20.01,20.38,19.38,4.4,15.49,41.22,3.66,3181050600,2873131170,-0.09,-0.79,40.17,64.0
57,001311,多利科技,32.09,10.01,2.92,107346,333918810.18,10.32,32.09,29.08,29.08,29.17,3.58,17.71,16.82,1.71,7664803488,1945470594,0.0,0.0,15.97,24.43
58,001333,光华股份,25.39,10.01,2.31,73455,182395239.46,8.19,25.39,23.5,23.98,23.08,1.12,16.69,25.44,1.99,3249920000,1117160000,0.0,0.0,33.07,46.68
59,003033,征和工业,47.94,10.0,4.36,135119,621631551.06,13.63,47.94,42.0,42.17,43.58,1.45,16.76,30.06,3.21,3919095000,3863874160,0.0,0.0,52.92,78.55
60,600602,云赛智联,27.16,10.0,2.47,2216512,5711681753.0,14.3,27.16,23.63,24.69,24.69,1.69,20.63,176.41,7.89,37146011038,29178069208,0.0,0.0,83.27,71.68
