序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,832149,利尔达,17.29,30.0,3.99,433147.0,679069826.63,32.18,17.29,13.01,13.01,13.3,2.76,37.53,-49.74,10.49,7289982700.0,1995451453.0,0.0,0.0,37.44,94.93
2,837006,晟楠科技,31.39,29.98,7.24,162694.0,484061773.24,29.61,31.39,24.24,24.24,24.15,4.16,47.44,-195.48,8.85,2834115208.0,1076421988.0,0.0,0.0,7.02,27.6
3,831167,鑫汇科,33.87,29.97,7.81,45497.0,148118607.73,15.23,33.87,29.9,29.9,26.06,2.54,15.82,59.27,6.26,1692922212.0,974055577.0,0.0,0.0,5.91,69.52
4,831856,浩淼科技,23.95,29.95,5.52,208190.0,476901222.05,22.52,23.95,19.8,21.18,18.43,3.37,43.45,77.76,4.48,2071166134.0,1147658302.0,0.0,0.0,87.11,185.46
5,832145,恒合股份,15.84,29.94,3.65,113737.0,168268756.78,31.26,15.84,12.03,12.05,12.19,2.93,25.37,-86.48,4.19,1117512000.0,710063640.0,0.0,0.0,13.63,74.64
6,830779,武汉蓝电,81.98,24.63,16.2,97130.0,681778838.62,34.19,85.0,62.51,69.07,65.78,2.16,67.86,47.78,9.16,4689256000.0,1173396218.0,-0.02,7.87,86.19,147.67
7,836263,中航泰达,11.77,17.7,1.77,182153.0,217276102.98,29.9,13.0,10.01,10.06,10.0,8.15,17.75,21.39,2.84,1662428886.0,1207528284.0,0.34,1.47,16.65,54.46
8,430418,苏轴股份,47.91,16.91,6.93,175696.0,802669306.84,23.4,49.99,40.4,41.01,40.98,1.04,24.54,32.3,7.93,6487397280.0,3430333195.0,0.04,-0.31,60.56,109.58
9,832876,慧为智能,39.18,15.61,5.29,123084.0,462914926.86,29.36,42.99,33.04,33.55,33.89,1.4,32.14,1258.27,10.1,2514598220.0,1500680745.0,-0.05,-0.31,65.6,140.22
10,871642,通易航天,14.78,15.02,1.93,182687.0,264014901.47,20.23,15.3,12.7,12.7,12.85,3.31,18.14,-745.78,6.14,1532246709.0,1488447657.0,0.0,0.0,5.12,27.74
11,920002,万达轴承,304.8,14.63,38.9,33636.0,995650781.84,29.79,329.2,250.0,251.0,265.9,0.96,58.5,129.05,14.61,9906646176.0,1752600000.0,0.53,-2.31,307.6,353.37
12,430425,乐创技术,26.69,13.43,3.16,90703.0,247423353.33,25.71,29.58,23.53,23.8,23.53,2.48,21.45,60.27,5.53,1352354622.0,1128859235.0,-0.04,-0.82,-0.89,45.69
13,835179,凯德石英,33.98,12.67,3.82,85892.0,282841050.27,20.66,35.99,29.76,30.18,30.16,2.79,14.49,53.47,3.47,2548500000.0,2013680965.0,0.62,1.46,-4.25,33.57
14,833533,骏创科技,62.7,12.57,7.0,138005.0,837834453.94,19.75,65.0,54.0,54.78,55.7,1.28,36.36,84.78,17.76,6306526512.0,2380106735.0,0.03,0.38,88.97,179.91
15,872374,云里物里,38.72,12.23,4.22,98643.0,389979227.45,16.38,42.01,36.36,36.44,34.5,3.26,29.19,105.33,12.44,3156376960.0,1308344192.0,-0.08,-0.15,11.04,53.77
16,832885,星辰科技,15.95,12.09,1.72,134122.0,207426167.19,16.02,16.38,14.1,14.22,14.23,3.35,15.24,126.53,7.15,2721309250.0,1403976149.0,0.25,0.31,4.18,30.74
17,920008,成电光信,39.8,11.95,4.25,73885.0,291879820.25,17.22,41.8,35.68,36.1,35.55,2.38,23.82,37.95,8.27,2537250000.0,1234508798.0,-0.2,-0.28,11.86,30.07
18,837344,三元基因,23.4,11.11,2.34,36644.0,81871047.52,12.82,23.5,20.8,21.0,21.06,2.21,3.23,94.66,4.59,2850354000.0,2657322626.0,1.3,1.61,1.47,31.53
19,831906,舜宇精工,27.5,10.93,2.71,85741.0,230864379.52,18.27,28.84,24.31,24.4,24.79,1.99,25.84,83.55,3.25,1786675000.0,912538633.0,0.44,0.7,18.79,62.05
20,833030,立方控股,22.1,10.5,2.1,53896.0,114421899.0,10.45,22.1,20.01,20.3,20.0,1.81,9.63,-16.47,3.78,2038575516.0,1236412258.0,0.45,0.73,-3.24,42.58
21,873169,七丰精工,17.0,10.17,1.57,98271.0,163566603.04,14.71,17.5,15.23,15.52,15.43,3.18,19.33,75.26,4.42,1389671630.0,864224580.0,0.06,0.24,-0.93,28.01
