序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301173,N毓恬,70.59,149.17,42.26,135171.0,1030621561.84,52.67,83.8,68.88,80.0,28.33,,80.16,36.39,4.52,6200256555.0,1190283145.0,0.0,-0.17,149.17,149.17
2,300195,长荣股份,7.37,20.03,1.23,677169.0,475853651.02,20.68,7.37,6.1,6.17,6.14,3.93,21.57,692.13,1.17,3122726162.0,2313534985.0,0.0,0.0,18.68,30.91
3,300619,金银河,32.08,20.01,5.35,88651.0,276002810.77,13.39,32.08,28.5,28.5,26.73,2.48,8.06,-328.03,2.62,4293776183.0,3528152882.0,0.0,0.0,14.82,33.39
4,300473,德尔股份,37.6,20.01,6.27,487801.0,1761682575.78,18.86,37.6,31.69,31.7,31.33,1.92,32.51,176.32,3.65,5676588598.0,5641879549.0,0.0,0.05,43.84,50.94
5,300530,领湃科技,30.02,19.98,5.0,151344.0,424664342.25,19.82,30.02,25.06,25.06,25.02,1.07,9.56,-27.13,75.19,5161979647.0,4751406914.0,0.0,0.0,32.6,77.32
6,300108,*ST吉药,1.28,19.63,0.21,2178113.0,263068755.88,17.76,1.28,1.09,1.13,1.07,3.24,33.22,-2.77,-1.67,852498783.0,839320863.0,0.0,0.0,-46.44,0.0
7,300035,中科电气,19.45,17.52,2.9,1570271.0,2943795004.96,16.92,19.8,17.0,17.01,16.55,2.62,26.92,54.47,2.93,13331548751.0,11346184341.0,0.05,0.62,21.94,30.1
8,300275,梅安森,18.18,15.21,2.4,780209.0,1384890368.96,16.79,18.94,16.29,16.67,15.78,2.91,30.59,89.72,6.27,5539247983.0,4636652870.0,0.0,0.94,18.51,23.67
9,300687,赛意信息,33.69,14.98,4.39,1058856.0,3627968153.21,9.62,35.16,32.34,35.16,29.3,2.87,32.54,109.48,5.13,13817110206.0,10962131203.0,1.78,3.06,86.86,85.11
10,301368,丰立智能,80.0,14.3,10.01,231108.0,1814031985.91,19.0,83.99,70.69,73.0,69.99,1.57,36.04,455.4,9.85,9608000000.0,5129715200.0,0.74,1.14,74.29,73.35
11,301022,海泰科,33.0,14.11,4.08,170777.0,537465071.18,15.87,33.66,29.07,31.66,28.92,5.24,32.71,68.29,2.88,2796981264.0,1722924687.0,0.06,0.73,44.67,62.56
12,301631,壹连科技,146.94,13.75,17.76,48024.0,670809563.22,16.24,151.38,130.4,131.0,129.18,3.16,36.86,39.18,4.19,9594613195.0,1914378696.0,-0.02,-0.04,4.93,11.49
13,300173,福能东方,7.78,12.27,0.85,1900888.0,1441811546.41,14.29,7.87,6.88,6.88,6.93,2.04,25.87,633.32,6.29,5716165930.0,5716165930.0,0.0,0.91,-12.39,37.7
14,301392,汇成真空,89.03,12.21,9.69,41559.0,353216422.44,18.53,91.82,77.12,79.49,79.34,1.03,18.47,103.54,12.13,8903000000.0,2003175000.0,0.17,0.98,30.45,44.15
15,301238,瑞泰新材,23.76,10.82,2.32,620134.0,1460314257.16,15.07,24.9,21.67,21.87,21.44,1.48,29.07,87.42,2.42,17423999208.0,5068799208.0,0.13,-0.17,35.46,51.72
16,300386,飞天诚信,19.32,10.78,1.88,574010.0,1054962608.34,12.1,19.56,17.45,17.93,17.44,1.93,23.13,-268.71,5.3,8076610080.0,4795516756.0,0.0,0.26,24.24,15.0
17,301336,趣睡科技,85.76,10.66,8.26,59999.0,496299165.13,15.05,89.2,77.54,79.5,77.5,1.11,23.3,134.96,4.28,3430400000.0,2208030474.0,0.02,2.14,143.36,58.84
18,300541,先进数通,14.39,10.44,1.36,1004981.0,1439243205.33,18.19,15.15,12.78,13.12,13.03,1.87,27.52,141.75,3.78,6188340240.0,5255358431.0,0.07,0.28,16.61,6.2
19,000980,众泰汽车,2.61,10.13,0.24,1834088.0,467981010.02,8.86,2.61,2.4,2.44,2.37,0.37,3.67,-29.65,14.58,13161049599.0,13027849932.0,0.0,0.0,3.57,9.21
20,000973,佛塑科技,7.11,10.06,0.65,698815.0,484016599.64,9.75,7.11,6.48,6.49,6.46,1.22,7.22,61.98,2.43,6878378746.0,6878378746.0,0.0,0.0,1.14,19.7
21,002575,群兴玩具,12.49,10.04,1.14,17364.0,21687636.0,0.0,12.49,12.49,12.49,11.35,0.05,0.3,-583.7,9.73,8027572800.0,7222948265.0,0.0,0.0,86.14,51.58
