序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,603409,N汇通,50.81,110.13,26.63,232895.0,1266359196.0,132.71,77.77,45.68,48.5,24.18,,75.43,38.13,4.44,6403584300.0,1568804327.0,0.0,-0.39,110.13,110.13
2,688521,芯原股份,89.74,20.01,14.96,222238.0,1784469433.0,24.1,89.74,71.72,71.72,74.78,0.71,4.46,-74.19,21.2,44901865059.0,44734631518.0,0.0,0.0,72.81,71.16
3,688107,安路科技,35.4,20.0,5.9,125329.0,409960042.0,21.15,35.4,29.16,29.49,29.5,1.75,3.13,-69.07,11.68,14190067592.0,14190067592.0,0.0,0.0,21.36,19.68
4,688114,华大智造,97.27,20.0,16.21,98776.0,889227569.0,21.96,97.27,79.47,79.51,81.06,1.44,4.64,-67.62,5.07,40514526397.0,20711943205.0,0.0,0.0,103.07,107.89
5,688262,国芯科技,32.41,15.5,4.35,348619.0,1084187358.0,20.17,32.99,27.33,27.33,28.06,1.56,13.19,-61.92,4.95,10889757180.0,8567604242.0,0.12,0.06,-8.7,17.0
6,688289,圣湘生物,24.58,15.24,3.25,308069.0,718768302.0,17.67,24.87,21.1,21.26,21.33,4.77,5.32,54.98,1.96,14241357187.0,14241357187.0,0.08,-0.77,12.03,8.28
7,688084,晶品特装,72.2,13.34,8.5,41944.0,290047995.0,15.53,73.0,63.11,63.98,63.7,2.16,11.38,-100.46,3.48,5462584565.0,2660515850.0,0.1,-0.26,27.88,28.24
8,688220,翱捷科技-U,111.0,13.07,12.83,230779.0,2441836038.0,20.73,114.48,94.13,95.0,98.17,1.01,6.4,-67.61,8.18,46431398679.0,40005305538.0,-0.14,-0.54,184.03,105.21
9,688332,中科蓝讯,123.75,12.16,13.42,86276.0,1028505860.0,14.37,124.67,108.82,109.23,110.33,1.6,19.6,49.55,3.73,14887774688.0,5447648374.0,-0.01,-0.12,0.52,-5.17
10,688622,禾信仪器,79.4,12.15,8.6,18733.0,138853218.0,13.14,79.49,70.19,70.3,70.8,2.44,2.68,-114.34,14.66,5557809916.0,5557809916.0,0.04,1.73,44.57,31.0
11,688488,艾迪药业,9.35,11.31,0.95,179249.0,162452158.0,11.67,9.4,8.42,8.46,8.4,3.09,4.26,-30.28,3.97,3934319255.0,3934319255.0,0.11,-0.32,-0.43,18.96
12,688793,倍轻松,32.8,10.89,3.22,46201.0,146482831.0,12.54,33.29,29.58,29.58,29.58,3.46,5.38,298.8,7.58,2819009743.0,2819009743.0,0.12,-0.3,3.86,10.07
13,688768,容知日新,55.55,10.48,5.27,32832.0,176342887.0,14.38,56.49,49.26,49.78,50.28,1.92,4.02,45.19,4.63,4856589459.0,4534326966.0,0.0,0.09,52.95,52.86
14,600841,动力新科,6.34,10.07,0.58,570205.0,341099362.0,12.33,6.34,5.63,5.76,5.76,0.66,6.2,-5.22,2.07,8798790111.0,5833713708.0,0.0,0.0,19.62,25.05
15,603123,翠微股份,8.66,10.04,0.79,408585.0,342048711.0,10.8,8.66,7.81,7.83,7.87,3.5,6.26,-13.67,2.82,6917059519.0,5648709718.0,0.0,0.0,-6.18,7.58
16,605066,天正电气,9.76,10.03,0.89,1773186.0,1630476849.0,18.71,9.76,8.1,9.28,8.87,8.51,35.29,35.71,2.76,4944590460.0,4903747300.0,0.0,0.0,59.74,62.13
17,603700,宁水集团,12.95,10.03,1.18,29954.0,38790469.0,0.0,12.95,12.95,12.95,11.77,0.29,1.47,56.1,1.66,2631983900.0,2631983900.0,0.0,0.0,19.24,29.37
18,600847,万里股份,10.32,10.02,0.94,71518.0,71146147.0,10.98,10.32,9.29,9.29,9.38,2.11,4.67,-47.54,2.48,1581925968.0,1581925968.0,0.0,0.0,2.99,27.41
19,600797,浙大网新,10.32,10.02,0.94,1191361.0,1166978162.0,11.94,10.32,9.2,9.26,9.38,0.72,11.59,-160.38,3.23,10604079693.0,10604079693.0,0.0,0.0,47.01,43.73
20,603595,东尼电子,21.74,10.02,1.98,100313.0,212039780.0,11.18,21.74,19.53,19.66,19.76,0.99,4.32,-88.95,3.35,5053296167.0,5053296167.0,0.0,0.0,14.84,27.21
21,605228,神通科技,10.98,10.02,1.0,225176.0,243319058.0,11.32,10.98,9.85,9.94,9.98,2.41,5.32,211.88,3.09,4677610003.0,4644637063.0,0.0,0.0,4.57,1.76
22,603333,尚纬股份,5.6,10.02,0.51,547246.0,295087144.0,11.39,5.6,5.02,5.07,5.09,2.48,8.8,137.41,1.65,3480554482.0,3480554482.0,0.0,0.0,23.89,0.54
23,605208,永茂泰,12.52,10.02,1.14,514666.0,623284882.0,12.92,12.52,11.05,11.37,11.38,0.88,15.6,86.19,1.97,4130848800.0,4130848800.0,0.0,0.0,62.18,62.39
24,603887,城地香江,20.21,10.02,1.84,1047795.0,2042313569.0,16.0,20.21,17.27,17.37,18.37,1.03,17.6,-70.75,3.46,12306766748.0,12030597098.0,0.0,0.0,45.4,26.95
25,605080,浙江自然,33.29,10.01,3.03,54274.0,176299906.0,10.81,33.29,30.02,30.26,30.26,2.07,3.83,21.71,2.34,4712966502.0,4712966502.0,0.0,0.0,63.19,41.66
26,601177,杭齿前进,19.45,10.01,1.77,558156.0,1076125492.0,6.17,19.45,18.36,18.38,17.68,0.62,13.95,31.45,3.1,7935113750.0,7781167000.0,0.0,0.0,117.56,134.9
27,605100,华丰股份,25.3,10.0,2.3,519778.0,1161267997.0,20.0,25.3,20.7,22.0,23.0,2.62,30.59,61.89,2.38,4329639600.0,4299279600.0,0.0,0.0,79.31,68.89
28,603810,丰山集团,12.98,10.0,1.18,162820.0,204851896.0,7.97,12.98,12.04,12.04,11.8,2.76,9.85,-64.96,1.46,2144891159.0,2144891159.0,0.0,0.0,22.11,43.58
29,603580,艾艾精工,19.25,10.0,1.75,72447.0,138756004.0,10.51,19.25,17.41,17.54,17.5,2.86,5.54,323.08,5.8,2515459100.0,2515459100.0,0.0,0.0,-7.81,9.87
30,603012,创力集团,6.27,10.0,0.57,510292.0,309872388.0,10.7,6.27,5.66,5.7,5.7,2.97,7.89,21.43,1.11,4080265200.0,4053555000.0,0.0,0.0,16.33,18.08
31,600316,洪都航空,37.4,10.0,3.4,395431.0,1438720515.0,10.0,37.4,34.0,34.62,34.0,2.86,5.51,1414.62,5.06,26820082749.0,26820082749.0,0.0,0.0,11.31,16.44
32,603583,捷昌驱动,41.59,10.0,3.78,201384.0,805055679.0,11.43,41.59,37.27,37.44,37.81,0.67,5.27,40.79,3.66,15947958122.0,15897650858.0,0.0,0.0,84.11,68.31
33,603855,华荣股份,24.54,10.0,2.23,209366.0,513717939.0,1.52,24.54,24.2,24.54,22.31,7.37,6.28,19.33,4.25,8282961660.0,8185415160.0,0.0,0.0,27.88,20.95
34,603960,克来机电,21.79,9.99,1.98,152332.0,321211931.0,10.95,21.79,19.62,19.67,19.81,1.11,5.81,127.04,5.28,5731282065.0,5713292241.0,0.0,0.0,1.21,9.5
35,603048,浙江黎明,17.28,9.99,1.57,34552.0,58122164.0,10.38,17.28,15.65,15.72,15.71,0.87,2.35,51.76,2.0,2538086400.0,2538086400.0,0.0,0.0,20.33,16.76
36,601020,华钰矿业,17.28,9.99,1.57,968783.0,1605818476.0,10.38,17.28,15.65,16.25,15.71,1.66,11.81,69.47,4.34,14168989981.0,14168989981.0,0.0,0.0,20.08,36.93
37,603657,春光科技,16.62,9.99,1.51,75297.0,120900706.0,9.73,16.62,15.15,15.22,15.11,2.2,5.57,360.57,2.39,2267787782.0,2246858631.0,0.0,0.0,19.05,-2.98
38,603931,格林达,27.74,9.99,2.52,101202.0,271784666.0,10.82,27.74,25.01,25.25,25.22,2.15,5.07,37.42,3.61,5535749461.0,5535749461.0,0.0,0.0,6.41,19.62
39,600619,海立股份,13.54,9.99,1.23,1617061.0,2109641122.0,8.94,13.54,12.44,12.57,12.31,3.79,20.49,479.94,2.38,14533083257.0,10685426765.0,0.0,0.0,7.46,10.98
40,603261,立航科技,25.0,9.99,2.27,19677.0,48391495.0,10.34,25.0,22.65,22.71,22.73,0.78,7.48,-43.01,2.49,1947690550.0,657431900.0,0.0,0.0,-21.36,-10.07
41,600592,龙溪股份,15.86,9.99,1.44,247372.0,376524929.0,11.93,15.86,14.14,14.41,14.42,0.48,6.19,28.7,2.53,6336919636.0,6336919636.0,0.0,0.0,51.63,61.51
