序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,836270,天铭科技,19.24,30.0,4.44,84515,154467071.64,24.59,19.24,15.6,15.61,14.8,22.99,10.42,24.01,4.73,2012811840,1560447059,0.0,0.0,22.16,84.47
2,835579,机科股份,39.95,24.03,7.74,111219,414755727.1,15.34,39.95,35.01,35.21,32.21,10.19,24.95,327.4,9.91,5172726000,1780748079,3.34,5.1,49.29,115.02
3,833427,华维设计,18.4,22.26,3.35,53747,86509436.12,26.84,18.55,14.51,14.64,15.05,8.59,10.62,92.98,5.58,1896948000,931411018,-0.7,10.84,21.77,67.27
4,301021,英诺激光,36.11,20.01,6.02,187159,650475902.79,11.7,36.11,32.59,33.0,30.09,24.23,12.3,4784.26,5.61,5494206265,5493225878,0.0,0.0,9.79,39.47
5,688395,正弦电气,25.32,20.0,4.22,38613,93834181.0,15.31,25.32,22.09,22.25,21.1,24.86,4.46,58.49,2.88,2192654270,2192654270,0.0,0.0,24.12,49.03
6,300210,森远股份,12.37,19.98,2.06,212931,251574513.24,20.08,12.37,10.3,10.38,10.31,16.92,4.4,-117.45,14.37,5989800819,5981604605,0.0,0.0,1.64,20.8
7,688502,茂莱光学,340.98,18.81,53.98,12370,388397152.0,13.24,341.0,303.0,303.0,287.0,4.64,7.36,426.7,15.28,18003744000,5728464000,3.59,4.31,26.49,69.3
8,430489,佳先股份,27.47,16.05,3.8,119355,323019765.75,11.36,28.69,26.0,26.0,23.67,5.37,13.93,225.03,7.53,3748534224,2354007285,1.07,1.74,6.72,67.5
9,873167,新赣江,33.34,14.61,4.25,73499,263756707.43,16.53,37.81,33.0,37.46,29.09,8.4,17.59,76.17,4.98,2362514075,1393007446,-1.33,-1.8,53.15,136.96
10,688680,海优新材,40.62,14.58,5.17,42408,169286838.0,14.5,40.95,35.81,36.64,35.45,13.01,5.05,-6.26,2.11,3412905602,3412905602,-0.2,0.05,3.39,20.25
11,300938,信测标准,44.08,14.49,5.58,179319,775955283.58,11.95,45.37,40.77,40.79,38.5,12.37,15.91,37.25,6.43,7106803951,4968678734,-2.63,-0.79,79.41,71.65
12,300404,博济医药,10.99,14.24,1.37,503009,564151918.28,9.98,11.54,10.58,10.58,9.62,42.65,18.1,72.96,4.26,4209869514,3054670214,-0.63,0.0,19.85,25.89
13,839725,惠丰钻石,38.2,12.82,4.34,44991,167779323.66,15.98,39.41,34.0,34.22,33.86,10.31,10.69,663.83,5.56,3486705000,1607370508,0.0,-1.9,-0.1,-1.65
14,688700,东威科技,37.3,12.62,4.18,64459,237225016.0,12.41,37.99,33.88,33.88,33.12,10.23,2.16,165.86,6.43,11130370728,11130370728,-0.8,0.67,23.18,26.61
15,872541,铁大科技,18.55,12.56,2.07,85341,154616609.0,21.97,20.0,16.38,17.43,16.48,6.8,9.48,33.48,6.08,2535785000,1670588588,0.27,1.37,22.93,53.05
16,688097,博众精工,35.93,12.25,3.92,141326,509660011.0,6.25,37.0,35.0,36.0,32.01,12.54,3.19,40.26,3.57,16048054196,15939392894,-0.91,-0.69,23.17,36.88
17,870204,沪江材料,25.22,12.14,2.73,52196,127478165.84,15.74,25.75,22.21,22.21,22.49,7.18,10.46,71.08,4.98,2377938240,1258000232,0.2,0.84,5.35,44.61
18,301225,恒勃股份,42.07,11.77,4.43,73771,300457588.32,19.37,43.8,36.51,37.64,37.64,13.73,24.44,37.72,3.05,4349196600,1269672600,-0.24,1.35,41.65,58.52
19,688096,京源环保,14.56,11.66,1.52,88666,121539715.0,17.02,15.0,12.78,12.8,13.04,6.62,5.82,-94.72,2.84,2218425664,2218425664,0.41,1.04,70.49,95.17
20,300233,金城医药,14.8,10.94,1.46,208043,295601205.01,9.45,14.93,13.67,13.74,13.34,12.36,5.62,28.21,1.56,5681343888,5474269954,1.44,1.51,13.5,24.89
21,688529,豪森智能,21.71,10.88,2.13,83839,176834364.0,12.26,22.46,20.06,20.4,19.58,13.5,5.01,-41.95,1.8,3631807478,3631807478,-1.72,-1.32,19.42,38.37
22,833030,立方控股,41.0,10.72,3.97,111336,433871473.91,16.15,41.99,36.01,36.66,37.03,9.4,19.9,-30.55,7.01,3781972676,2293796496,2.02,0.17,77.87,164.52
23,836263,中航泰达,19.91,10.61,1.91,106824,212104558.53,18.22,21.88,18.6,18.6,18.0,4.88,10.41,36.18,4.8,2812146059,2042641304,-2.35,-2.4,92.93,161.29
24,600984,建设机械,3.91,10.14,0.36,197206,76489613.0,7.32,3.91,3.65,3.65,3.55,5.54,1.57,-4.99,1.15,4915041747,4915041747,0.0,0.0,8.91,22.57
25,301261,恒工精密,91.4,10.12,8.4,29503,270781750.26,10.06,95.49,87.14,88.2,83.0,4.14,7.79,62.67,5.14,8033163914,3463163914,-0.88,-1.79,105.86,120.88
26,600107,美尔雅,4.79,10.11,0.44,151253,71635629.0,10.11,4.79,4.35,4.41,4.35,14.78,4.2,-26.64,3.37,1724400000,1724400000,0.0,0.0,-11.62,4.81
27,002162,悦心健康,4.79,10.11,0.44,420196,200935302.59,2.99,4.79,4.66,4.78,4.35,3.83,4.56,-30.0,5.31,4414388811,4410138644,0.0,0.0,24.09,38.44
28,600403,大有能源,3.05,10.11,0.28,83641,24861388.0,9.75,3.05,2.78,2.78,2.77,6.53,0.35,-6.96,1.21,7291977826,7291977826,0.0,0.0,-10.29,3.74
29,002672,东江环保,4.47,10.1,0.41,145410,63768944.09,10.1,4.47,4.06,4.06,4.06,16.35,1.61,-10.46,1.22,4940493435,4045878810,0.0,0.0,-8.21,5.67
30,002277,友阿股份,6.33,10.09,0.58,1261257,768350893.93,7.65,6.33,5.89,5.99,5.75,10.52,9.05,57.87,1.3,8825113824,8825113824,0.0,2.1,88.96,8.21
31,002306,中科云网,2.84,10.08,0.26,545720,151440518.4,10.08,2.84,2.58,2.6,2.58,7.29,6.71,-48.02,781.92,2470125500,2309327219,0.0,0.0,-32.22,-1.39
32,600172,黄河旋风,4.59,10.07,0.42,1000051,449976527.0,10.07,4.59,4.17,4.18,4.17,17.61,7.84,-11.67,3.2,6619626745,5858013893,0.88,0.0,-9.11,10.34
