序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
139,603270,金帝股份,28.6,4.99,1.36,139365.0,390715413.0,9.95,29.39,26.68,26.8,27.24,12.66,19.71,56.32,2.93,6266450676.0,2022496676.0,0.07,-1.07,27.56,47.42
141,300358,楚天科技,8.25,4.96,0.39,198293.0,160897214.6,3.56,8.25,7.97,8.01,7.86,11.99,3.44,-19.51,1.08,4870013041.0,4753520500.0,0.86,1.48,3.9,20.26
142,300242,佳云科技,5.32,4.93,0.25,377357.0,201000411.0,5.33,5.47,5.2,5.2,5.07,7.82,5.99,-61.19,9.31,3375833792.0,3349347629.0,0.76,1.14,8.79,30.71
143,002760,凤形股份,20.95,4.91,0.98,93429.0,199287612.14,9.36,21.97,20.1,20.82,19.97,23.05,8.65,118.8,2.56,2262363391.0,2262363391.0,-0.66,-1.09,7.22,23.24
155,600330,天通股份,7.66,4.64,0.34,442150.0,339786404.0,3.55,7.8,7.54,7.55,7.32,14.01,3.58,57.05,1.18,9448107627.0,9448107627.0,-0.39,-0.65,-0.91,7.89
156,002250,联化科技,7.21,4.64,0.32,194436.0,138202896.93,5.52,7.26,6.88,6.9,6.89,8.61,2.14,151.61,1.03,6570711774.0,6536111265.0,0.28,0.0,18.98,30.85
157,600818,中路股份,11.51,4.64,0.51,112153.0,131303324.0,5.91,12.1,11.45,11.5,11.0,16.24,4.71,964.6,6.05,3699865444.0,2738895544.0,0.0,-0.43,-9.01,-0.43
159,000657,中钨高新,10.22,4.61,0.45,255055.0,258677728.83,4.09,10.25,9.85,9.9,9.77,13.34,2.04,77.69,2.01,21354492713.0,12747499380.0,1.09,0.69,0.0,10.97
161,833075,柏星龙,38.03,4.59,1.67,49482.0,191365918.02,5.78,39.98,37.88,38.02,36.36,10.36,14.19,43.61,6.05,2464914450.0,1326443198.0,-1.73,-0.47,1.2,42.27
162,002430,杭氧股份,21.17,4.54,0.92,86127.0,180483789.58,6.22,21.38,20.12,20.21,20.25,8.19,0.88,23.13,2.34,20828950284.0,20698512387.0,0.57,-0.33,-11.31,-2.89
171,002158,汉钟精机,20.15,4.4,0.85,105642.0,213329315.69,7.2,20.6,19.21,19.21,19.3,15.51,1.98,12.18,2.54,10774691401.0,10752083302.0,0.05,-0.59,2.13,8.8
177,603928,兴业股份,11.08,4.33,0.46,71338.0,77525906.0,5.08,11.09,10.55,10.6,10.62,7.8,2.72,59.53,1.93,2903846400.0,2903846400.0,0.64,0.27,15.9,33.82
179,603588,高能环境,5.57,4.31,0.23,457771.0,257008646.0,6.55,5.8,5.45,5.45,5.34,17.98,3.01,11.34,0.89,8484415925.0,8484415925.0,0.18,0.0,3.92,6.3
186,300697,电工合金,15.39,4.2,0.62,104724.0,163060769.76,9.48,16.08,14.68,14.86,14.77,10.02,4.11,41.73,4.62,5121792000.0,3921372000.0,-0.32,-0.77,28.57,22.05
187,688296,和达科技,15.04,4.16,0.6,31672.0,48588509.0,11.77,16.16,14.46,14.5,14.44,9.77,2.95,307.63,2.32,1627939526.0,1615193126.0,0.4,0.07,18.71,34.05
189,002315,焦点科技,51.05,4.14,2.03,238027.0,1231201931.52,8.61,53.92,49.7,50.0,49.02,10.85,11.78,35.89,6.45,16194891112.0,10313790572.0,-0.58,-0.51,27.43,22.48
190,300824,北鼎股份,9.86,4.12,0.39,65807.0,64346544.5,6.02,9.99,9.42,9.49,9.47,9.69,2.08,46.28,4.57,3217728985.0,3116206727.0,-0.8,-0.3,-1.89,0.82
191,830879,基康仪器,18.22,4.11,0.72,30526.0,56334625.31,11.43,19.3,17.3,17.72,17.5,8.5,2.71,24.73,4.27,2541649479.0,2053895014.0,-1.03,-1.35,20.58,54.8
193,002657,中科金财,22.21,4.08,0.87,477216.0,1072850161.23,4.55,22.93,21.96,22.11,21.34,19.03,14.19,-72.31,4.17,7552554809.0,7470472623.0,0.0,-0.85,4.22,21.23
195,003002,壶化股份,24.99,4.04,0.97,28785.0,72289717.0,5.83,25.66,24.26,24.8,24.02,10.0,1.57,36.19,3.75,4998000000.0,4570033755.0,-0.36,-0.28,10.97,10.77
200,000737,北方铜业,9.65,3.88,0.36,461292.0,440859678.47,4.63,9.71,9.28,9.29,9.29,9.16,2.6,25.22,2.97,18380513598.0,17102397703.0,0.21,-0.1,11.05,23.72
204,300855,图南股份,23.46,3.81,0.86,51886.0,120406544.27,6.06,23.68,22.31,22.5,22.6,8.57,1.77,26.96,4.7,9279168990.0,6872750997.0,0.69,0.04,0.34,7.03
207,600456,宝钛股份,29.88,3.75,1.08,78802.0,234764442.0,5.8,30.38,28.71,28.8,28.8,9.93,1.65,20.73,2.07,14275992865.0,14275992865.0,0.23,-0.1,3.25,5.03
209,600449,宁夏建材,15.27,3.74,0.55,167403.0,251660258.0,3.74,15.3,14.75,14.89,14.72,14.48,3.5,32.06,1.01,7301824511.0,7301824511.0,0.79,1.66,6.63,1.66
210,002378,章源钨业,6.95,3.73,0.25,146649.0,100635424.0,4.18,6.95,6.67,6.7,6.7,9.44,1.23,47.06,3.91,8349852779.0,8305872609.0,0.43,0.29,-8.55,7.42
212,601900,南方传媒,14.85,3.7,0.53,114236.0,169232500.0,4.75,15.0,14.32,14.37,14.32,12.16,1.28,18.85,1.66,13303767005.0,13303767005.0,0.07,-0.27,4.43,-1.72
215,600531,豫光金铅,7.16,3.62,0.25,240912.0,172938682.0,5.79,7.34,6.94,6.94,6.91,8.16,2.21,10.56,1.5,7806137259.0,7806137259.0,0.0,0.0,4.99,11.53
216,603822,嘉澳环保,58.64,3.6,2.04,30833.0,181753561.0,8.71,60.49,55.56,57.5,56.6,11.38,4.01,-25.13,5.0,4505069955.0,4505069955.0,0.26,-0.83,9.92,20.26
218,600338,西藏珠峰,10.45,3.57,0.36,195323.0,202620063.0,5.25,10.59,10.06,10.09,10.09,8.75,2.14,32.68,2.59,9553496256.0,9553496256.0,0.29,0.58,-13.49,-2.06
219,002034,旺能环境,16.62,3.55,0.57,76110.0,125557945.37,4.3,16.72,16.03,16.06,16.05,8.29,1.79,10.37,1.06,7083655323.0,7047859367.0,-0.24,-0.12,7.71,7.23
222,603020,爱普股份,9.14,3.51,0.31,65452.0,60026655.0,5.66,9.33,8.83,8.83,8.83,8.85,1.71,29.54,1.1,3502793254.0,3502793254.0,-0.22,-0.44,12.56,18.09
227,300466,赛摩智能,8.89,3.49,0.3,223293.0,202184114.89,8.38,9.42,8.7,8.8,8.59,9.79,5.32,-182.28,5.97,4760860882.0,3733677825.0,-0.34,-0.11,-5.53,19.33
228,000531,穗恒运Ａ,6.53,3.49,0.22,132251.0,85665367.6,4.91,6.6,6.29,6.29,6.31,9.64,1.45,27.77,1.03,6800350698.0,5940638037.0,-0.15,-0.91,3.16,13.37
229,600668,尖峰集团,10.39,3.49,0.35,36523.0,37556440.0,4.28,10.45,10.02,10.06,10.04,10.61,1.06,38.0,0.71,3575030973.0,3575030973.0,1.07,0.97,-3.44,2.36
231,002184,海得控制,15.19,3.47,0.51,171869.0,259907404.34,4.22,15.45,14.83,15.01,14.68,7.05,7.16,-37.06,4.36,5345488140.0,3646777286.0,0.2,-0.2,24.3,30.05
234,301633,港迪技术,88.35,3.43,2.93,10378.0,91276822.2,6.02,89.9,84.76,85.12,85.42,11.39,7.46,63.58,5.53,4919328000.0,1229832000.0,-1.45,-0.84,-2.26,5.83
238,600888,新疆众和,7.31,3.39,0.24,165039.0,119296922.0,4.81,7.38,7.04,7.06,7.07,12.17,1.2,8.64,0.95,10059896239.0,10059896239.0,0.0,0.0,-1.62,2.96
239,002993,奥海科技,48.83,3.39,1.6,78576.0,373603477.5,7.77,49.0,45.33,45.92,47.23,8.93,3.3,33.64,2.82,13479033200.0,11617950995.0,0.41,0.72,45.15,19.1
247,000960,锡业股份,14.84,3.34,0.48,263584.0,388755082.55,3.62,14.91,14.39,14.42,14.36,10.6,1.6,14.27,1.32,24423700968.0,24423700968.0,0.47,0.27,0.82,6.53
250,301001,凯淳股份,36.53,3.28,1.16,43420.0,163160592.0,6.64,38.79,36.44,36.46,35.37,12.52,8.63,468.63,3.6,2922400000.0,1837459000.0,-0.98,-1.32,31.17,4.37
253,300509,新美星,10.18,3.25,0.32,74285.0,77397333.53,10.55,10.85,9.81,9.85,9.86,8.24,3.01,83.11,5.35,3017352000.0,2515513864.0,0.49,0.0,33.95,46.9
254,600497,驰宏锌锗,5.75,3.23,0.18,788833.0,450001473.0,3.77,5.77,5.56,5.56,5.57,10.72,1.55,14.9,1.77,29274926516.0,29274926516.0,0.35,0.17,-5.27,3.23
255,600686,金龙汽车,14.42,3.22,0.45,236842.0,343148270.0,6.08,14.7,13.85,13.9,13.97,8.5,3.3,101.51,3.27,10339823753.0,10339823753.0,0.07,-0.62,21.79,2.71
261,002237,恒邦股份,10.76,3.16,0.33,112839.0,120476933.76,4.41,10.85,10.39,10.4,10.43,8.27,1.24,19.94,1.35,12353265254.0,9796534310.0,0.0,0.09,2.28,6.53
262,601061,中信金属,7.5,3.16,0.23,138545.0,103294145.0,4.68,7.6,7.26,7.27,7.27,10.81,2.76,16.05,1.75,36750000000.0,3758653853.0,0.0,0.13,-5.54,3.31
264,300873,海晨股份,23.18,3.11,0.7,104538.0,244584925.0,5.78,24.1,22.8,22.88,22.48,7.35,6.18,18.38,1.82,5345349237.0,3922975898.0,0.0,-0.04,30.59,37.08
265,603332,苏州龙杰,9.63,3.1,0.29,51379.0,49561171.0,6.53,9.88,9.27,9.33,9.34,10.21,2.37,26.87,1.64,2083423382.0,2083423382.0,-0.52,0.0,-5.59,11.85
266,002088,鲁阳节能,12.96,3.1,0.39,28446.0,36955968.03,5.49,13.22,12.53,12.6,12.57,8.37,0.56,14.59,2.41,6650068715.0,6542079320.0,0.23,-0.08,5.45,1.33
267,600756,浪潮软件,18.99,3.09,0.57,207498.0,391077480.0,4.61,19.18,18.33,18.5,18.42,8.94,6.4,-48.72,2.77,6154635319.0,6154635319.0,-0.26,-0.73,20.49,32.52
274,300320,海达股份,10.4,3.07,0.31,103895.0,107350156.76,5.05,10.57,10.06,10.12,10.09,7.63,2.12,40.24,2.73,6252835586.0,5099019505.0,-0.29,-0.86,-6.05,8.33
281,002609,捷顺科技,9.6,3.0,0.28,311952.0,296837003.13,5.26,9.77,9.28,9.41,9.32,28.86,6.79,108.04,2.6,6195424906.0,4410293674.0,-0.72,-1.54,8.6,16.22
291,603985,恒润股份,14.82,2.85,0.41,226259.0,334150444.0,9.02,15.36,14.06,14.4,14.41,7.22,5.13,-66.5,2.0,6533515604.0,6533515604.0,-0.54,0.14,19.04,26.88
295,603045,福达合金,15.28,2.83,0.42,32163.0,48984929.0,4.58,15.48,14.8,14.8,14.86,7.67,2.37,37.34,2.14,2069601968.0,2069601968.0,-0.26,0.07,12.02,19.94
302,000751,锌业股份,2.99,2.75,0.08,287304.0,85571941.92,5.15,3.04,2.89,2.89,2.91,11.57,2.04,852.74,1.35,4830735479.0,4215507649.0,-0.33,-0.66,-5.08,6.41
307,000727,冠捷科技,3.03,2.71,0.08,1128085.0,342165909.05,6.78,3.12,2.92,2.94,2.95,9.1,2.49,128.71,4.8,13724587949.0,13724587949.0,-1.62,-1.94,0.0,8.99
308,600379,宝光股份,9.89,2.7,0.26,50372.0,50083499.0,4.15,10.05,9.65,9.67,9.63,10.45,1.53,35.47,4.46,3265693468.0,3265693468.0,-0.4,-0.8,-2.27,4.66
312,300909,汇创达,29.48,2.68,0.77,44733.0,134218955.0,7.18,30.56,28.5,28.54,28.71,9.98,3.92,50.6,2.58,5099243421.0,3367814716.0,-0.71,-1.57,6.31,23.61
313,603272,联翔股份,16.09,2.68,0.42,12438.0,20045479.0,4.53,16.38,15.67,15.67,15.67,8.34,2.93,-159.94,2.93,1667358430.0,683857180.0,-0.56,-0.8,3.14,16.93
