序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
157,000910,大亚圣象,7.84,5.95,0.44,256539.0,203712821.34,10.54,8.14,7.36,7.39,7.4,10.38,4.69,24.01,0.64,4291596400.0,4289397280.0,-0.13,0.0,-6.56,-0.38
176,002236,大华股份,19.18,5.5,1.0,4481219.0,8688630254.2,7.26,20.0,18.68,18.8,18.18,8.23,21.3,18.63,1.77,63210744473.0,40360872349.0,-0.26,-0.36,19.28,19.88
91,603588,高能环境,5.76,7.87,0.42,1781933.0,1024538877.0,7.87,5.87,5.45,5.45,5.34,8.13,11.7,11.73,0.92,8773830472.0,8773830472.0,0.88,1.41,7.46,9.92
180,605298,必得科技,14.89,5.38,0.76,124410.0,189921675.0,9.91,15.54,14.14,14.14,14.13,6.23,6.74,167.66,2.83,2797086500.0,2749468280.0,-0.33,-0.53,7.12,9.89
125,002158,汉钟精机,20.59,6.68,1.29,334495.0,687635320.62,10.47,21.23,19.21,19.21,19.3,5.92,6.27,12.45,2.59,11009970022.0,10986868248.0,0.29,0.05,4.36,11.18
98,002760,凤形股份,21.51,7.71,1.54,198584.0,426455377.25,9.36,21.97,20.1,20.82,19.97,5.91,18.39,121.97,2.62,2322837066.0,2322837066.0,1.51,2.19,10.08,26.53
172,301231,荣信文化,19.48,5.58,1.03,145195.0,289302684.42,16.64,21.5,18.43,18.5,18.45,5.83,26.94,-49.36,1.87,1644112000.0,1049972000.0,0.1,-0.15,-4.98,8.34
150,600668,尖峰集团,10.65,6.08,0.61,161587.0,170714297.0,7.77,10.8,10.02,10.06,10.04,5.66,4.7,38.95,0.72,3664492768.0,3664492768.0,0.19,0.09,-1.02,4.93
145,600063,皖维高新,4.13,6.17,0.24,780507.0,321239276.0,10.54,4.28,3.87,3.89,3.89,5.65,4.05,32.56,1.04,8692073286.0,7953945078.0,-0.24,-0.24,-4.18,3.25
82,600531,豫光金铅,7.48,8.25,0.57,1429749.0,1061295735.0,9.55,7.6,6.94,6.94,6.91,5.62,13.11,11.04,1.56,8155014902.0,8155014902.0,0.0,-0.13,9.68,16.51
119,000657,中钨高新,10.44,6.86,0.67,885688.0,921645183.71,9.21,10.75,9.85,9.9,9.77,5.58,7.1,79.36,2.05,21814178466.0,13021907390.0,0.48,0.38,2.15,13.36
131,301500,飞南资源,20.8,6.5,1.27,153391.0,329041006.56,18.48,22.98,19.37,19.41,19.53,5.41,15.86,34.67,1.82,8363696182.0,2011086917.0,-0.57,-1.0,4.05,15.56
132,301320,豪江智能,18.42,6.47,1.12,210070.0,402482506.96,19.65,20.69,17.29,17.29,17.3,5.31,31.03,56.71,3.17,3337704000.0,1247034000.0,0.05,-0.05,11.37,23.54
169,300605,恒锋信息,17.26,5.63,0.92,424535.0,770078703.23,16.71,19.61,16.88,16.96,16.34,5.24,37.35,-86.49,5.37,2839330048.0,1961726206.0,0.0,-0.17,25.99,47.4
