序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高_x,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,最高_y
190,000910,大亚圣象,7.84,5.95,0.44,265952,211109088.66,10.54,8.14,7.36,7.39,7.4,10.05,4.86,24.01,0.64,4291596400,4289397280,-0.13,-0.63,-6.56,-0.38,7.45
167,002236,大华股份,19.37,6.55,1.19,4657140,9028331511.54,7.26,20.0,18.68,18.8,18.18,7.99,22.13,18.81,1.78,63836919731,40760693296,0.0,-0.15,20.46,21.06,18.18
149,603588,高能环境,5.71,6.93,0.37,1853805,1065628547.0,7.87,5.87,5.45,5.45,5.34,7.89,12.17,11.63,0.91,8697668749,8697668749,0.0,-0.35,6.53,8.97,5.35
133,002158,汉钟精机,20.68,7.15,1.38,350406,720505313.12,10.47,21.23,19.21,19.21,19.3,5.79,6.57,12.5,2.61,11058095195,11034892441,-0.1,0.24,4.82,11.66,19.35
199,301231,荣信文化,19.47,5.53,1.02,153285,305079721.42,16.64,21.5,18.43,18.5,18.45,5.75,28.44,-49.33,1.87,1643268000,1049433000,-0.26,0.0,-5.02,8.29,18.56
165,600668,尖峰集团,10.7,6.57,0.66,172439,182294307.0,7.77,10.8,10.02,10.06,10.04,5.64,5.01,39.13,0.73,3681696960,3681696960,0.28,0.38,-0.56,5.42,10.11
173,600063,皖维高新,4.14,6.43,0.25,833256,343073638.0,10.54,4.28,3.87,3.89,3.89,5.63,4.33,32.64,1.05,8713119468,7973204025,0.0,-0.24,-3.94,3.5,3.9
104,600531,豫光金铅,7.48,8.25,0.57,1510266,1121499933.0,9.55,7.6,6.94,6.94,6.91,5.54,13.85,11.04,1.56,8155014902,8155014902,0.0,0.0,9.68,16.51,7.03
151,000657,中钨高新,10.44,6.86,0.67,916911,954236585.97,9.21,10.75,9.85,9.9,9.77,5.39,7.35,79.36,2.05,21814178466,13021907390,-0.1,-0.1,2.15,13.36,9.79
128,301500,飞南资源,20.94,7.22,1.41,158726,340185953.3,18.48,22.98,19.37,19.41,19.53,5.23,16.42,34.91,1.84,8419990291,2024623079,0.0,0.14,4.75,16.33,19.74
146,301320,豪江智能,18.5,6.94,1.2,221924,424409066.68,19.65,20.69,17.29,17.29,17.3,5.23,32.78,56.96,3.19,3352200000,1252450000,0.0,-0.11,11.85,24.08,18.03
88,300605,恒锋信息,17.8,8.94,1.46,444921,805817145.86,16.71,19.61,16.88,16.96,16.34,5.13,39.15,-89.2,5.54,2928161926,2023101186,-0.28,2.24,29.93,52.01,16.34
