序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高_x,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,最高_y
160,600961,株冶集团,9.4,4.21,0.38,509974,478916230.0,4.99,9.6,9.15,9.3,9.02,52.55,6.78,13.0,3.76,10085003408,7067036541,-1.47,-1.78,11.11,19.44,9.02
117,002840,华统股份,11.29,4.93,0.53,125972,141466109.4,4.83,11.48,10.96,10.98,10.76,31.35,2.53,100.33,2.97,7146794479,5619752862,-0.35,-0.88,-16.37,-10.47,10.99
146,002589,瑞康医药,3.07,4.42,0.13,191990,58740479.4,3.4,3.1,3.0,3.0,2.94,30.5,1.41,89.28,0.84,4619461146,4192366052,-0.32,-0.32,-6.12,3.37,2.97
124,300267,尔康制药,2.82,4.83,0.13,223783,62882469.99,5.2,2.87,2.73,2.74,2.69,25.1,1.57,-171.29,1.23,5816545733,4011159092,0.71,-0.35,-14.8,1.44,2.75
120,000609,*ST中迪,2.8,4.87,0.13,51172,14157576.8,4.87,2.8,2.67,2.67,2.67,25.05,1.76,-5.9,2.95,837943462,815036662,0.0,1.08,14.75,11.55,2.69
133,603388,ST元成,3.59,4.66,0.16,70143,25068943.0,3.5,3.6,3.48,3.52,3.43,24.83,2.15,-10.57,1.07,1169383523,1169383523,0.28,0.0,7.16,35.47,3.43
128,000078,海王生物,2.42,4.76,0.11,128766,30672404.0,4.76,2.43,2.32,2.32,2.31,22.8,0.49,103.33,2.1,6367318282,6355987554,1.68,1.68,-17.97,-5.1,2.34
122,000711,*ST京蓝,1.73,4.85,0.08,192969,33221279.68,1.82,1.73,1.7,1.7,1.65,22.37,0.84,-56.65,7.33,4942568866,3953446770,0.0,0.0,-7.98,7.45,1.65
157,605068,明新旭腾,15.16,4.26,0.62,25105,38116520.0,7.02,15.58,14.56,14.84,14.54,19.99,1.55,152.5,1.44,2458044462,2458044462,0.73,-1.69,6.69,12.71,14.58
181,300230,永利股份,5.23,3.98,0.2,186839,96849034.68,3.98,5.27,5.07,5.1,5.03,19.04,2.97,19.79,1.37,4253106296,3293971670,-0.38,0.0,2.75,17.53,5.15
144,603378,亚士创能,6.97,4.5,0.3,27613,19032214.0,4.65,7.01,6.7,6.7,6.67,18.0,0.64,-120.46,1.81,2987318595,2987318595,0.43,1.16,-3.33,8.57,6.73
123,000735,罗 牛 山,6.5,4.84,0.3,225282,145289288.51,3.71,6.55,6.32,6.32,6.2,16.73,1.96,16.4,1.73,7484838257,7480833861,0.0,0.0,-8.84,-2.4,6.33
189,300869,康泰医学,14.86,3.92,0.56,21961,32514808.0,1.82,14.92,14.66,14.68,14.3,16.6,0.87,452.2,3.14,5970792238,3738318966,0.13,-0.07,-5.83,6.6,14.54
134,688571,杭华股份,8.11,4.65,0.36,33231,26969090.0,2.84,8.21,7.99,7.99,7.75,16.34,0.79,24.5,2.2,3407242135,3407242135,0.5,-0.86,17.03,20.86,7.98
177,002363,隆基机械,8.03,4.02,0.31,95535,76235165.5,6.74,8.2,7.68,7.69,7.72,15.91,2.3,68.47,1.59,3355161257,3338538081,1.52,-1.83,10.76,22.22,7.9
147,600408,安泰集团,1.89,4.42,0.08,117164,22044508.0,8.29,1.96,1.81,1.82,1.81,15.42,1.16,-4.75,1.23,1902852000,1902852000,-1.56,1.61,-18.53,-7.8,1.84
119,603773,沃格光电,25.4,4.87,1.18,29401,74002357.0,4.38,25.47,24.41,24.67,24.22,15.41,1.44,-86.03,4.29,5669240198,5176603363,0.28,0.08,-0.35,0.4,24.88
152,600641,万业企业,14.98,4.32,0.62,82684,123788077.0,3.34,15.15,14.67,14.78,14.36,15.23,0.89,-330.07,1.67,13940836202,13940836202,0.47,-0.79,-9.6,2.46,14.59
